"date","supply","stock"
1969-02-01,115,44200
1969-03-01,116,44316
1969-04-01,240,44556
1969-05-01,274,44830
1969-06-01,12,44842
1969-07-01,12,44854
1969-10-01,324,45178
1969-11-01,64,45242
1969-12-01,980,46222
1970-01-01,97,46319
1970-02-01,34,46353
1970-03-01,306,46659
1970-04-01,6,46665
1970-05-01,232,46897
1970-10-01,305,47202
1970-11-01,193,47395
1970-12-01,69,47464
1971-01-01,44,47508
1971-02-01,10,47518
1971-03-01,235,47753
1971-04-01,5,47758
1971-05-01,158,47916
1971-06-01,1,47917
1971-10-01,148,48065
1971-11-01,350,48415
1971-12-01,94,48509
1972-01-01,11,48520
1972-02-01,129,48649
1972-03-01,81,48730
1972-04-01,40,48770
1972-05-01,161,48931
1972-06-01,4,48935
1972-08-01,3,48938
1972-10-01,243,49181
1972-11-01,132,49313
1972-12-01,39,49352
1973-01-01,325,49677
1973-02-01,85,49762
1973-03-01,46,49808
1973-05-01,243,50051
1973-06-01,1,50052
1973-08-01,1,50053
1973-10-01,230,50283
1973-11-01,137,50420
1973-12-01,7,50427
1974-01-01,1740,52167
1974-02-01,36,52203
1974-03-01,9,52212
1974-04-01,382,52594
1974-05-01,19,52613
1974-06-01,58,52671
1974-07-01,1,52672
1974-09-01,95,52767
1974-10-01,136,52903
1974-11-01,812,53715
1974-12-01,85,53800
1975-01-01,216,54016
1975-02-01,110,54126
1975-03-01,19,54145
1975-04-01,9,54154
1975-05-01,487,54641
1975-10-01,116,54757
1975-11-01,1,54758
1975-12-01,13,54771
1976-01-01,123,54894
1976-02-01,80,54974
1976-03-01,34,55008
1976-04-01,48,55056
1976-05-01,58,55114
1976-06-01,54,55168
1976-07-01,2,55170
1976-08-01,1,55171
1976-10-01,227,55398
1976-11-01,164,55562
1976-12-01,112,55674
1977-01-01,8,55682
1977-02-01,155,55837
1977-03-01,149,55986
1977-04-01,23,56009
1977-05-01,142,56151
1977-06-01,134,56285
1977-08-01,1,56286
1977-09-01,1,56287
1977-10-01,63,56350
1977-11-01,483,56833
1977-12-01,39,56872
1978-01-01,1,56873
1978-02-01,28,56901
