year,Britain,Moddern,Liverpool,StIves
2006,1665,5235,566,241
2007,1533,5237,691,244
2008,1587,4648,1036,204
2009,1576,4788,523,219
2010,1606,5035,606,199
2011,1465,4766,607,206
2012,1396,5524,621,205
2013,1419,4806,571,241
2014,1373,5702,598,230
2015,1273,4587,618,184
2016,1363,6396,636,52
2017,1548,5709,643,265
2018,1357,5799,702,300
2019,1621,5744,628,270
