"date","Department","supply","stock"
2000-11-01,"Painting & Sculpture",9,2880
2001-02-01,"Painting & Sculpture",11,2891
2001-04-01,"Painting & Sculpture",6,2897
2001-05-01,"Painting & Sculpture",1,2898
2001-11-01,"Painting & Sculpture",11,2909
2002-02-01,"Painting & Sculpture",5,2914
2002-04-01,"Painting & Sculpture",20,2934
2002-05-01,"Painting & Sculpture",4,2938
2002-10-01,"Painting & Sculpture",5,2943
2003-02-01,"Painting & Sculpture",2,2945
2003-05-01,"Painting & Sculpture",3,2948
2003-10-01,"Painting & Sculpture",6,2954
2003-12-01,"Painting & Sculpture",3,2957
2004-03-01,"Painting & Sculpture",19,2976
2004-06-01,"Painting & Sculpture",26,3002
2004-08-01,"Painting & Sculpture",1,3003
2004-09-01,"Painting & Sculpture",1,3004
2005-02-01,"Painting & Sculpture",5,3009
2005-05-01,"Painting & Sculpture",13,3022
2005-06-01,"Painting & Sculpture",1,3023
2005-09-01,"Painting & Sculpture",7,3030
2005-10-01,"Painting & Sculpture",108,3138
2005-12-01,"Painting & Sculpture",17,3155
2006-02-01,"Painting & Sculpture",15,3170
2006-05-01,"Painting & Sculpture",11,3181
2006-10-01,"Painting & Sculpture",1,3182
2006-11-01,"Painting & Sculpture",7,3189
2007-02-01,"Painting & Sculpture",12,3201
2007-04-01,"Painting & Sculpture",5,3206
2007-05-01,"Painting & Sculpture",2,3208
2007-10-01,"Painting & Sculpture",9,3217
2007-12-01,"Painting & Sculpture",13,3230
2008-03-01,"Painting & Sculpture",8,3238
2008-06-01,"Painting & Sculpture",15,3253
2008-07-01,"Painting & Sculpture",9,3262
2008-11-01,"Painting & Sculpture",14,3276
2009-02-01,"Painting & Sculpture",7,3283
2009-05-01,"Painting & Sculpture",15,3298
2009-09-01,"Painting & Sculpture",6,3304
2009-11-01,"Painting & Sculpture",4,3308
2010-03-01,"Painting & Sculpture",33,3341
2010-06-01,"Painting & Sculpture",17,3358
2010-09-01,"Painting & Sculpture",8,3366
2010-12-01,"Painting & Sculpture",76,3442
2011-02-01,"Painting & Sculpture",11,3453
2011-05-01,"Painting & Sculpture",52,3505
2011-09-01,"Painting & Sculpture",14,3519
2011-12-01,"Painting & Sculpture",12,3531
2012-02-01,"Painting & Sculpture",8,3539
2012-06-01,"Painting & Sculpture",19,3558
2012-09-01,"Painting & Sculpture",12,3570
2012-11-01,"Painting & Sculpture",1,3571
2012-12-01,"Painting & Sculpture",6,3577
2013-02-01,"Painting & Sculpture",15,3592
2013-05-01,"Painting & Sculpture",20,3612
2013-10-01,"Painting & Sculpture",17,3629
2013-12-01,"Painting & Sculpture",16,3645
2014-02-01,"Painting & Sculpture",11,3656
2014-05-01,"Painting & Sculpture",10,3666
2014-09-01,"Painting & Sculpture",10,3676
2014-12-01,"Painting & Sculpture",11,3687
2015-03-01,"Painting & Sculpture",10,3697
2015-06-01,"Painting & Sculpture",27,3724
2015-10-01,"Painting & Sculpture",17,3741
2016-01-01,"Painting & Sculpture",12,3753
2016-04-01,"Painting & Sculpture",6,3759
2016-06-01,"Painting & Sculpture",19,3778
NA,"Painting & Sculpture",3,3781
1932-12-01,"Photography",1,1
1933-04-01,"Photography",92,93
1934-05-01,"Photography",2,95
1935-11-01,"Photography",24,119
1937-03-01,"Photography",47,166
1937-12-01,"Photography",10,176
1938-10-01,"Photography",85,261
1939-01-01,"Photography",51,312
1940-04-01,"Photography",123,435
1940-06-01,"Photography",2,437
1941-01-01,"Photography",420,857
1941-06-01,"Photography",65,922
1941-12-01,"Photography",126,1048
1942-01-01,"Photography",19,1067
1942-03-01,"Photography",11,1078
1942-05-01,"Photography",57,1135
1942-06-01,"Photography",1,1136
1942-12-01,"Photography",130,1266
1943-02-01,"Photography",19,1285
1943-05-01,"Photography",19,1304
1943-11-01,"Photography",90,1394
1944-03-01,"Photography",42,1436
1944-05-01,"Photography",38,1474
1944-11-01,"Photography",33,1507
1946-05-01,"Photography",32,1539
1947-06-01,"Photography",13,1552
1947-10-01,"Photography",23,1575
1948-03-01,"Photography",1,1576
1950-01-01,"Photography",52,1628
1950-04-01,"Photography",40,1668
1952-05-01,"Photography",16,1684
1953-04-01,"Photography",51,1735
1954-01-01,"Photography",34,1769
1954-04-01,"Photography",10,1779
1955-11-01,"Photography",4,1783
1956-10-01,"Photography",64,1847
1957-10-01,"Photography",26,1873
1959-04-01,"Photography",448,2321
1959-12-01,"Photography",4,2325
1960-04-01,"Photography",1,2326
1960-05-01,"Photography",1,2327
1960-11-01,"Photography",102,2429
1961-01-01,"Photography",10,2439
1961-05-01,"Photography",121,2560
1961-11-01,"Photography",14,2574
1961-12-01,"Photography",6,2580
1962-01-01,"Photography",32,2612
1962-02-01,"Photography",7,2619
1962-04-01,"Photography",11,2630
1962-05-01,"Photography",46,2676
1962-11-01,"Photography",59,2735
1963-01-01,"Photography",49,2784
1963-02-01,"Photography",22,2806
1963-03-01,"Photography",11,2817
1963-05-01,"Photography",28,2845
1963-10-01,"Photography",18,2863
1964-01-01,"Photography",210,3073
1964-02-01,"Photography",163,3236
1964-03-01,"Photography",29,3265
1964-04-01,"Photography",79,3344
1964-05-01,"Photography",21,3365
1964-06-01,"Photography",21,3386
1964-11-01,"Photography",55,3441
1965-01-01,"Photography",20,3461
1965-04-01,"Photography",70,3531
1965-05-01,"Photography",11,3542
1965-11-01,"Photography",253,3795
1966-01-01,"Photography",81,3876
1966-04-01,"Photography",38,3914
1966-05-01,"Photography",1,3915
1966-10-01,"Photography",50,3965
1967-03-01,"Photography",63,4028
1967-06-01,"Photography",83,4111
1967-11-01,"Photography",86,4197
1967-12-01,"Photography",108,4305
1968-01-01,"Photography",86,4391
1968-03-01,"Photography",4992,9383
1968-05-01,"Photography",287,9670
1968-11-01,"Photography",115,9785
1969-01-01,"Photography",49,9834
1969-03-01,"Photography",107,9941
1969-05-01,"Photography",93,10034
1969-11-01,"Photography",57,10091
1970-01-01,"Photography",89,10180
1970-03-01,"Photography",21,10201
1970-05-01,"Photography",32,10233
1970-10-01,"Photography",125,10358
1971-01-01,"Photography",32,10390
1971-02-01,"Photography",3,10393
1971-03-01,"Photography",45,10438
1971-05-01,"Photography",77,10515
1971-11-01,"Photography",348,10863
1972-01-01,"Photography",1,10864
1972-02-01,"Photography",2,10866
1972-03-01,"Photography",80,10946
1972-05-01,"Photography",70,11016
1972-11-01,"Photography",129,11145
1973-02-01,"Photography",72,11217
1973-03-01,"Photography",1,11218
1973-05-01,"Photography",51,11269
1973-11-01,"Photography",137,11406
1974-01-01,"Photography",72,11478
1974-04-01,"Photography",258,11736
1974-06-01,"Photography",58,11794
1974-10-01,"Photography",114,11908
1974-12-01,"Photography",77,11985
1975-02-01,"Photography",98,12083
1975-05-01,"Photography",156,12239
1975-10-01,"Photography",44,12283
1976-02-01,"Photography",80,12363
1976-04-01,"Photography",48,12411
1976-06-01,"Photography",24,12435
1976-10-01,"Photography",107,12542
1976-12-01,"Photography",99,12641
1977-02-01,"Photography",1,12642
1977-03-01,"Photography",119,12761
1977-06-01,"Photography",84,12845
1977-10-01,"Photography",59,12904
1977-12-01,"Photography",34,12938
1978-02-01,"Photography",7,12945
1978-05-01,"Photography",87,13032
1978-10-01,"Photography",55,13087
1978-12-01,"Photography",89,13176
1979-02-01,"Photography",27,13203
1979-05-01,"Photography",67,13270
1979-10-01,"Photography",83,13353
1979-12-01,"Photography",85,13438
1980-03-01,"Photography",58,13496
1980-05-01,"Photography",20,13516
1980-08-01,"Photography",25,13541
1980-10-01,"Photography",91,13632
1981-02-01,"Photography",288,13920
1981-03-01,"Photography",2,13922
1981-05-01,"Photography",30,13952
1981-10-01,"Photography",142,14094
1981-11-01,"Photography",1,14095
1981-12-01,"Photography",239,14334
1982-03-01,"Photography",77,14411
1982-05-01,"Photography",150,14561
1982-10-01,"Photography",74,14635
1983-01-01,"Photography",207,14842
1983-03-01,"Photography",106,14948
1983-05-01,"Photography",29,14977
1983-11-01,"Photography",72,15049
1984-01-01,"Photography",44,15093
1984-03-01,"Photography",44,15137
1984-05-01,"Photography",27,15164
1984-12-01,"Photography",173,15337
1985-03-01,"Photography",80,15417
1985-05-01,"Photography",29,15446
1985-10-01,"Photography",63,15509
1986-01-01,"Photography",82,15591
1986-03-01,"Photography",25,15616
1986-05-01,"Photography",128,15744
1986-10-01,"Photography",36,15780
1986-12-01,"Photography",38,15818
1987-02-01,"Photography",41,15859
1987-04-01,"Photography",33,15892
1987-10-01,"Photography",54,15946
1987-12-01,"Photography",167,16113
1988-03-01,"Photography",56,16169
1988-06-01,"Photography",17,16186
1988-10-01,"Photography",60,16246
1988-12-01,"Photography",43,16289
1989-03-01,"Photography",94,16383
1989-06-01,"Photography",185,16568
1989-10-01,"Photography",57,16625
1989-12-01,"Photography",40,16665
1990-06-01,"Photography",100,16765
1990-10-01,"Photography",25,16790
1990-12-01,"Photography",128,16918
1991-03-01,"Photography",29,16947
1991-06-01,"Photography",75,17022
1991-10-01,"Photography",89,17111
1992-01-01,"Photography",108,17219
1992-04-01,"Photography",32,17251
1992-06-01,"Photography",67,17318
1992-10-01,"Photography",100,17418
1992-12-01,"Photography",16,17434
1993-03-01,"Photography",121,17555
1993-06-01,"Photography",76,17631
1993-10-01,"Photography",61,17692
1994-01-01,"Photography",107,17799
1994-03-01,"Photography",39,17838
1994-06-01,"Photography",91,17929
1994-10-01,"Photography",64,17993
1994-12-01,"Photography",32,18025
1995-03-01,"Photography",25,18050
1995-05-01,"Photography",1,18051
1995-06-01,"Photography",457,18508
1995-09-01,"Photography",1,18509
1995-12-01,"Photography",90,18599
1996-06-01,"Photography",105,18704
1996-08-01,"Photography",1,18705
1996-10-01,"Photography",42,18747
1996-12-01,"Photography",48,18795
1997-01-01,"Photography",1,18796
1997-03-01,"Photography",33,18829
1997-06-01,"Photography",41,18870
1997-10-01,"Photography",75,18945
1997-12-01,"Photography",29,18974
1998-03-01,"Photography",96,19070
1998-06-01,"Photography",166,19236
1998-10-01,"Photography",49,19285
1998-12-01,"Photography",265,19550
1999-03-01,"Photography",30,19580
1999-06-01,"Photography",65,19645
1999-10-01,"Photography",46,19691
1999-12-01,"Photography",23,19714
2000-03-01,"Photography",18,19732
2000-10-01,"Photography",876,20608
2000-12-01,"Photography",10,20618
2001-01-01,"Photography",1,20619
2001-04-01,"Photography",161,20780
2001-06-01,"Photography",480,21260
2001-10-01,"Photography",3,21263
2001-12-01,"Photography",363,21626
2002-04-01,"Photography",17,21643
2002-06-01,"Photography",54,21697
2002-10-01,"Photography",23,21720
2002-12-01,"Photography",16,21736
2003-02-01,"Photography",5,21741
2003-04-01,"Photography",28,21769
2003-10-01,"Photography",81,21850
2003-12-01,"Photography",12,21862
2004-01-01,"Photography",1,21863
2004-05-01,"Photography",79,21942
2004-10-01,"Photography",57,21999
2005-01-01,"Photography",64,22063
2005-05-01,"Photography",233,22296
2005-10-01,"Photography",43,22339
2006-01-01,"Photography",75,22414
2006-05-01,"Photography",169,22583
2006-10-01,"Photography",92,22675
2007-02-01,"Photography",61,22736
2007-04-01,"Photography",2,22738
2007-05-01,"Photography",93,22831
2007-10-01,"Photography",265,23096
2008-02-01,"Photography",80,23176
2008-05-01,"Photography",109,23285
2008-11-01,"Photography",78,23363
2009-01-01,"Photography",1,23364
2009-02-01,"Photography",147,23511
2009-04-01,"Photography",1,23512
2009-05-01,"Photography",119,23631
2009-10-01,"Photography",120,23751
2010-02-01,"Photography",55,23806
2010-05-01,"Photography",70,23876
2010-10-01,"Photography",536,24412
2011-02-01,"Photography",27,24439
2011-05-01,"Photography",196,24635
2011-10-01,"Photography",146,24781
2011-12-01,"Photography",6,24787
2012-02-01,"Photography",78,24865
2012-05-01,"Photography",97,24962
2012-10-01,"Photography",126,25088
2013-02-01,"Photography",177,25265
2013-05-01,"Photography",223,25488
2013-10-01,"Photography",856,26344
2013-12-01,"Photography",1,26345
2014-02-01,"Photography",121,26466
2014-05-01,"Photography",447,26913
2014-10-01,"Photography",242,27155
2015-01-01,"Photography",64,27219
2015-05-01,"Photography",864,28083
2015-10-01,"Photography",39,28122
2016-01-01,"Photography",174,28296
2016-05-01,"Photography",101,28397
NA,"Photography",441,28838
1929-11-01,"Prints & Illustrated Books",8,8
1930-06-01,"Prints & Illustrated Books",1,9
1931-01-01,"Prints & Illustrated Books",1,10
1932-05-01,"Prints & Illustrated Books",9,19
1932-12-01,"Prints & Illustrated Books",1,20
1933-01-01,"Prints & Illustrated Books",2,22
1934-03-01,"Prints & Illustrated Books",3,25
1934-04-01,"Prints & Illustrated Books",6,31
1934-05-01,"Prints & Illustrated Books",64,95
1934-07-01,"Prints & Illustrated Books",51,146
1934-09-01,"Prints & Illustrated Books",42,188
1934-12-01,"Prints & Illustrated Books",1,189
1935-02-01,"Prints & Illustrated Books",1,190
1935-04-01,"Prints & Illustrated Books",8,198
1935-11-01,"Prints & Illustrated Books",34,232
1936-01-01,"Prints & Illustrated Books",1,233
1936-05-01,"Prints & Illustrated Books",3,236
1937-12-01,"Prints & Illustrated Books",6,242
1938-10-01,"Prints & Illustrated Books",7,249
1939-01-01,"Prints & Illustrated Books",44,293
1939-05-01,"Prints & Illustrated Books",1,294
1939-12-01,"Prints & Illustrated Books",28,322
1940-04-01,"Prints & Illustrated Books",1241,1563
1940-05-01,"Prints & Illustrated Books",2,1565
1940-06-01,"Prints & Illustrated Books",1,1566
1940-09-01,"Prints & Illustrated Books",8,1574
1941-01-01,"Prints & Illustrated Books",32,1606
1941-03-01,"Prints & Illustrated Books",11,1617
1941-06-01,"Prints & Illustrated Books",20,1637
1941-11-01,"Prints & Illustrated Books",1,1638
1941-12-01,"Prints & Illustrated Books",22,1660
1942-01-01,"Prints & Illustrated Books",3,1663
1942-03-01,"Prints & Illustrated Books",2,1665
1942-05-01,"Prints & Illustrated Books",15,1680
1942-07-01,"Prints & Illustrated Books",3,1683
1942-09-01,"Prints & Illustrated Books",1,1684
1942-11-01,"Prints & Illustrated Books",78,1762
1942-12-01,"Prints & Illustrated Books",118,1880
1943-02-01,"Prints & Illustrated Books",27,1907
1943-05-01,"Prints & Illustrated Books",3,1910
1943-09-01,"Prints & Illustrated Books",1,1911
1943-11-01,"Prints & Illustrated Books",53,1964
1943-12-01,"Prints & Illustrated Books",1,1965
1944-03-01,"Prints & Illustrated Books",11,1976
1944-05-01,"Prints & Illustrated Books",6,1982
1944-06-01,"Prints & Illustrated Books",3,1985
1944-09-01,"Prints & Illustrated Books",37,2022
1944-11-01,"Prints & Illustrated Books",41,2063
1944-12-01,"Prints & Illustrated Books",29,2092
1945-01-01,"Prints & Illustrated Books",32,2124
1945-03-01,"Prints & Illustrated Books",7,2131
1945-04-01,"Prints & Illustrated Books",33,2164
1945-06-01,"Prints & Illustrated Books",3,2167
1945-09-01,"Prints & Illustrated Books",1,2168
1945-12-01,"Prints & Illustrated Books",6,2174
1946-01-01,"Prints & Illustrated Books",1,2175
1946-05-01,"Prints & Illustrated Books",28,2203
1946-07-01,"Prints & Illustrated Books",61,2264
1947-03-01,"Prints & Illustrated Books",77,2341
1947-06-01,"Prints & Illustrated Books",12,2353
1947-10-01,"Prints & Illustrated Books",30,2383
1947-12-01,"Prints & Illustrated Books",100,2483
1948-03-01,"Prints & Illustrated Books",30,2513
1948-10-01,"Prints & Illustrated Books",202,2715
1949-03-01,"Prints & Illustrated Books",287,3002
1949-04-01,"Prints & Illustrated Books",2,3004
1949-05-01,"Prints & Illustrated Books",71,3075
1949-09-01,"Prints & Illustrated Books",1110,4185
1949-10-01,"Prints & Illustrated Books",4,4189
1950-04-01,"Prints & Illustrated Books",1,4190
1950-06-01,"Prints & Illustrated Books",25,4215
1950-10-01,"Prints & Illustrated Books",147,4362
1950-11-01,"Prints & Illustrated Books",32,4394
1951-01-01,"Prints & Illustrated Books",87,4481
1951-05-01,"Prints & Illustrated Books",272,4753
1951-11-01,"Prints & Illustrated Books",63,4816
1952-01-01,"Prints & Illustrated Books",33,4849
1952-05-01,"Prints & Illustrated Books",177,5026
1952-11-01,"Prints & Illustrated Books",204,5230
1953-01-01,"Prints & Illustrated Books",72,5302
1953-04-01,"Prints & Illustrated Books",15,5317
1953-06-01,"Prints & Illustrated Books",84,5401
1954-01-01,"Prints & Illustrated Books",57,5458
1954-04-01,"Prints & Illustrated Books",243,5701
1954-09-01,"Prints & Illustrated Books",251,5952
1954-12-01,"Prints & Illustrated Books",63,6015
1955-04-01,"Prints & Illustrated Books",131,6146
1955-10-01,"Prints & Illustrated Books",124,6270
1955-11-01,"Prints & Illustrated Books",24,6294
1956-02-01,"Prints & Illustrated Books",1,6295
1956-03-01,"Prints & Illustrated Books",279,6574
1956-05-01,"Prints & Illustrated Books",1,6575
1956-10-01,"Prints & Illustrated Books",167,6742
1956-12-01,"Prints & Illustrated Books",241,6983
1957-02-01,"Prints & Illustrated Books",1,6984
1957-05-01,"Prints & Illustrated Books",45,7029
1957-09-01,"Prints & Illustrated Books",1,7030
1957-10-01,"Prints & Illustrated Books",39,7069
1957-12-01,"Prints & Illustrated Books",16,7085
1958-02-01,"Prints & Illustrated Books",98,7183
1958-09-01,"Prints & Illustrated Books",1,7184
1958-12-01,"Prints & Illustrated Books",329,7513
1959-03-01,"Prints & Illustrated Books",139,7652
1959-04-01,"Prints & Illustrated Books",106,7758
1959-10-01,"Prints & Illustrated Books",53,7811
1960-02-01,"Prints & Illustrated Books",1,7812
1960-05-01,"Prints & Illustrated Books",140,7952
1960-09-01,"Prints & Illustrated Books",8,7960
1961-01-01,"Prints & Illustrated Books",53,8013
1961-02-01,"Prints & Illustrated Books",2,8015
1961-03-01,"Prints & Illustrated Books",1,8016
1961-12-01,"Prints & Illustrated Books",160,8176
1962-01-01,"Prints & Illustrated Books",54,8230
1962-05-01,"Prints & Illustrated Books",140,8370
1962-10-01,"Prints & Illustrated Books",6,8376
1962-12-01,"Prints & Illustrated Books",66,8442
1963-02-01,"Prints & Illustrated Books",63,8505
1963-03-01,"Prints & Illustrated Books",6,8511
1963-04-01,"Prints & Illustrated Books",66,8577
1963-05-01,"Prints & Illustrated Books",49,8626
1963-06-01,"Prints & Illustrated Books",66,8692
1963-10-01,"Prints & Illustrated Books",56,8748
1963-12-01,"Prints & Illustrated Books",74,8822
1964-01-01,"Prints & Illustrated Books",127,8949
1964-02-01,"Prints & Illustrated Books",52,9001
1964-03-01,"Prints & Illustrated Books",57,9058
1964-04-01,"Prints & Illustrated Books",56,9114
1964-06-01,"Prints & Illustrated Books",45,9159
1964-10-01,"Prints & Illustrated Books",11176,20335
1964-11-01,"Prints & Illustrated Books",94,20429
1964-12-01,"Prints & Illustrated Books",10,20439
1965-01-01,"Prints & Illustrated Books",40,20479
1965-02-01,"Prints & Illustrated Books",32,20511
1965-03-01,"Prints & Illustrated Books",18,20529
1965-04-01,"Prints & Illustrated Books",295,20824
1965-05-01,"Prints & Illustrated Books",101,20925
1965-06-01,"Prints & Illustrated Books",137,21062
1965-10-01,"Prints & Illustrated Books",119,21181
1965-11-01,"Prints & Illustrated Books",601,21782
1965-12-01,"Prints & Illustrated Books",68,21850
1966-01-01,"Prints & Illustrated Books",124,21974
1966-02-01,"Prints & Illustrated Books",18,21992
1966-04-01,"Prints & Illustrated Books",1,21993
1966-05-01,"Prints & Illustrated Books",384,22377
1966-10-01,"Prints & Illustrated Books",29,22406
1966-11-01,"Prints & Illustrated Books",352,22758
1966-12-01,"Prints & Illustrated Books",352,23110
1967-02-01,"Prints & Illustrated Books",237,23347
1967-04-01,"Prints & Illustrated Books",251,23598
1967-05-01,"Prints & Illustrated Books",1,23599
1967-06-01,"Prints & Illustrated Books",69,23668
1967-10-01,"Prints & Illustrated Books",425,24093
1967-12-01,"Prints & Illustrated Books",550,24643
1968-02-01,"Prints & Illustrated Books",234,24877
1968-04-01,"Prints & Illustrated Books",65,24942
1968-06-01,"Prints & Illustrated Books",125,25067
1968-10-01,"Prints & Illustrated Books",228,25295
1968-12-01,"Prints & Illustrated Books",254,25549
1969-02-01,"Prints & Illustrated Books",90,25639
1969-03-01,"Prints & Illustrated Books",1,25640
1969-04-01,"Prints & Illustrated Books",167,25807
1969-05-01,"Prints & Illustrated Books",164,25971
1969-10-01,"Prints & Illustrated Books",264,26235
1969-12-01,"Prints & Illustrated Books",920,27155
1970-01-01,"Prints & Illustrated Books",1,27156
1970-03-01,"Prints & Illustrated Books",258,27414
1970-05-01,"Prints & Illustrated Books",181,27595
1970-10-01,"Prints & Illustrated Books",167,27762
1970-12-01,"Prints & Illustrated Books",47,27809
1971-03-01,"Prints & Illustrated Books",134,27943
1971-05-01,"Prints & Illustrated Books",61,28004
1971-10-01,"Prints & Illustrated Books",130,28134
1971-12-01,"Prints & Illustrated Books",67,28201
1972-01-01,"Prints & Illustrated Books",8,28209
1972-02-01,"Prints & Illustrated Books",115,28324
1972-05-01,"Prints & Illustrated Books",69,28393
1972-10-01,"Prints & Illustrated Books",222,28615
1973-01-01,"Prints & Illustrated Books",321,28936
1973-05-01,"Prints & Illustrated Books",142,29078
1973-06-01,"Prints & Illustrated Books",1,29079
1973-10-01,"Prints & Illustrated Books",201,29280
1973-12-01,"Prints & Illustrated Books",2,29282
1974-01-01,"Prints & Illustrated Books",1668,30950
1974-04-01,"Prints & Illustrated Books",124,31074
1974-09-01,"Prints & Illustrated Books",95,31169
1975-01-01,"Prints & Illustrated Books",172,31341
1975-05-01,"Prints & Illustrated Books",305,31646
1975-10-01,"Prints & Illustrated Books",47,31693
1976-01-01,"Prints & Illustrated Books",120,31813
1976-05-01,"Prints & Illustrated Books",58,31871
1976-11-01,"Prints & Illustrated Books",162,32033
1977-01-01,"Prints & Illustrated Books",4,32037
1977-02-01,"Prints & Illustrated Books",117,32154
1977-05-01,"Prints & Illustrated Books",136,32290
1977-11-01,"Prints & Illustrated Books",302,32592
1978-03-01,"Prints & Illustrated Books",46,32638
1978-05-01,"Prints & Illustrated Books",260,32898
1978-10-01,"Prints & Illustrated Books",380,33278
1979-01-01,"Prints & Illustrated Books",194,33472
1979-05-01,"Prints & Illustrated Books",88,33560
1979-11-01,"Prints & Illustrated Books",1,33561
1979-12-01,"Prints & Illustrated Books",254,33815
1980-01-01,"Prints & Illustrated Books",2,33817
1980-02-01,"Prints & Illustrated Books",92,33909
1980-04-01,"Prints & Illustrated Books",22,33931
1980-10-01,"Prints & Illustrated Books",93,34024
1981-01-01,"Prints & Illustrated Books",70,34094
1981-05-01,"Prints & Illustrated Books",116,34210
1981-10-01,"Prints & Illustrated Books",143,34353
1982-01-01,"Prints & Illustrated Books",76,34429
1982-05-01,"Prints & Illustrated Books",184,34613
1982-10-01,"Prints & Illustrated Books",98,34711
1983-01-01,"Prints & Illustrated Books",141,34852
1983-05-01,"Prints & Illustrated Books",139,34991
1983-09-01,"Prints & Illustrated Books",89,35080
1983-10-01,"Prints & Illustrated Books",4,35084
1984-02-01,"Prints & Illustrated Books",74,35158
1984-05-01,"Prints & Illustrated Books",60,35218
1984-06-01,"Prints & Illustrated Books",2,35220
1984-10-01,"Prints & Illustrated Books",144,35364
1985-01-01,"Prints & Illustrated Books",128,35492
1985-06-01,"Prints & Illustrated Books",223,35715
1985-10-01,"Prints & Illustrated Books",120,35835
1986-01-01,"Prints & Illustrated Books",200,36035
1986-05-01,"Prints & Illustrated Books",147,36182
1986-10-01,"Prints & Illustrated Books",137,36319
1987-01-01,"Prints & Illustrated Books",313,36632
1987-05-01,"Prints & Illustrated Books",198,36830
1987-10-01,"Prints & Illustrated Books",227,37057
1988-01-01,"Prints & Illustrated Books",264,37321
1988-05-01,"Prints & Illustrated Books",148,37469
1988-06-01,"Prints & Illustrated Books",1,37470
1988-10-01,"Prints & Illustrated Books",202,37672
1989-01-01,"Prints & Illustrated Books",90,37762
1989-05-01,"Prints & Illustrated Books",123,37885
1989-10-01,"Prints & Illustrated Books",147,38032
1989-12-01,"Prints & Illustrated Books",4,38036
1990-01-01,"Prints & Illustrated Books",100,38136
1990-05-01,"Prints & Illustrated Books",396,38532
1990-10-01,"Prints & Illustrated Books",205,38737
1990-12-01,"Prints & Illustrated Books",15,38752
1991-01-01,"Prints & Illustrated Books",212,38964
1991-02-01,"Prints & Illustrated Books",13,38977
1991-05-01,"Prints & Illustrated Books",59,39036
1991-10-01,"Prints & Illustrated Books",156,39192
1992-01-01,"Prints & Illustrated Books",231,39423
1992-05-01,"Prints & Illustrated Books",307,39730
1992-11-01,"Prints & Illustrated Books",119,39849
1993-01-01,"Prints & Illustrated Books",309,40158
1993-05-01,"Prints & Illustrated Books",57,40215
1993-11-01,"Prints & Illustrated Books",448,40663
1993-12-01,"Prints & Illustrated Books",11,40674
1994-01-01,"Prints & Illustrated Books",153,40827
1994-05-01,"Prints & Illustrated Books",66,40893
1994-11-01,"Prints & Illustrated Books",113,41006
1995-01-01,"Prints & Illustrated Books",52,41058
1995-05-01,"Prints & Illustrated Books",29,41087
1995-11-01,"Prints & Illustrated Books",99,41186
1996-03-01,"Prints & Illustrated Books",134,41320
1996-05-01,"Prints & Illustrated Books",55,41375
1996-11-01,"Prints & Illustrated Books",210,41585
1997-03-01,"Prints & Illustrated Books",104,41689
1997-05-01,"Prints & Illustrated Books",188,41877
1997-11-01,"Prints & Illustrated Books",198,42075
1998-03-01,"Prints & Illustrated Books",302,42377
1998-05-01,"Prints & Illustrated Books",53,42430
1998-06-01,"Prints & Illustrated Books",1,42431
1998-11-01,"Prints & Illustrated Books",49,42480
1999-03-01,"Prints & Illustrated Books",84,42564
1999-05-01,"Prints & Illustrated Books",356,42920
1999-11-01,"Prints & Illustrated Books",136,43056
2000-03-01,"Prints & Illustrated Books",160,43216
2000-05-01,"Prints & Illustrated Books",1,43217
2000-11-01,"Prints & Illustrated Books",120,43337
2001-01-01,"Prints & Illustrated Books",1596,44933
2001-05-01,"Prints & Illustrated Books",193,45126
2001-11-01,"Prints & Illustrated Books",124,45250
2002-04-01,"Prints & Illustrated Books",93,45343
2002-06-01,"Prints & Illustrated Books",30,45373
2002-11-01,"Prints & Illustrated Books",109,45482
2003-03-01,"Prints & Illustrated Books",39,45521
2003-06-01,"Prints & Illustrated Books",61,45582
2003-11-01,"Prints & Illustrated Books",65,45647
2004-03-01,"Prints & Illustrated Books",96,45743
2004-05-01,"Prints & Illustrated Books",2,45745
2004-06-01,"Prints & Illustrated Books",64,45809
2004-10-01,"Prints & Illustrated Books",92,45901
2005-02-01,"Prints & Illustrated Books",2,45903
2005-03-01,"Prints & Illustrated Books",131,46034
2005-06-01,"Prints & Illustrated Books",314,46348
2005-10-01,"Prints & Illustrated Books",97,46445
2006-03-01,"Prints & Illustrated Books",205,46650
2006-04-01,"Prints & Illustrated Books",14,46664
2006-06-01,"Prints & Illustrated Books",547,47211
2006-11-01,"Prints & Illustrated Books",121,47332
2007-03-01,"Prints & Illustrated Books",100,47432
2007-04-01,"Prints & Illustrated Books",8,47440
2007-06-01,"Prints & Illustrated Books",62,47502
2007-11-01,"Prints & Illustrated Books",675,48177
2008-03-01,"Prints & Illustrated Books",183,48360
2008-06-01,"Prints & Illustrated Books",650,49010
2008-10-01,"Prints & Illustrated Books",2882,51892
2009-01-01,"Prints & Illustrated Books",70,51962
2009-04-01,"Prints & Illustrated Books",168,52130
2009-11-01,"Prints & Illustrated Books",431,52561
2010-03-01,"Prints & Illustrated Books",79,52640
2010-06-01,"Prints & Illustrated Books",223,52863
2010-11-01,"Prints & Illustrated Books",555,53418
2011-03-01,"Prints & Illustrated Books",163,53581
2011-05-01,"Prints & Illustrated Books",433,54014
2011-10-01,"Prints & Illustrated Books",122,54136
2011-12-01,"Prints & Illustrated Books",5,54141
2012-02-01,"Prints & Illustrated Books",488,54629
2012-05-01,"Prints & Illustrated Books",167,54796
2012-10-01,"Prints & Illustrated Books",732,55528
