user,follower
57082583,254865613
57082583,824723708602437632
57082583,1324242489511800833
57082583,3284766308
57082583,94292452
57082583,4162410142
57082583,788827729
57082583,748532262
57082583,1368213558761295873
57082583,929624569111040000
57082583,567678624
57082583,537443449
57082583,1425457614155026434
57082583,58138044
57082583,2979719464
57082583,78583449
57082583,63159632
57082583,982289417393004544
57082583,87419607
57082583,1549053890
57082583,1330966865963782148
57082583,268905535
57082583,1374583569088135169
57082583,39468943
57082583,720695600
57082583,3367682589
57082583,64472672
57082583,1389560172398448644
57082583,905678545
57082583,1410572257311744000
57082583,26716249
57082583,1278492234845843456
57082583,515529131
57082583,50466686
57082583,366561788
57082583,2869079393
57082583,65883051
57082583,1124084161051078657
57082583,17941291
57082583,930539844
57082583,902178887672758273
57082583,1159505135011356675
57082583,3306825820
57082583,1320686621877035009
57082583,1139046304892575745
57082583,1198659479866396673
57082583,794187708
57082583,20357764
57082583,786857745098084352
57082583,257029843
57082583,999084292893560833
57082583,15239513
57082583,2410119463
57082583,1377139631905382411
57082583,17826845
57082583,825790087560564738
57082583,2153236472
57082583,1356368233943625729
57082583,196090844
57082583,68476812
57082583,112610515
57082583,22461446
57082583,17991487
57082583,16143105
57082583,1029012651710533633
57082583,715151900430053376
57082583,2911014027
57082583,1084900031784660992
57082583,18202677
57082583,15451796
57082583,20981308
57082583,14636665
57082583,45841403
57082583,4850026247
57082583,198664836
57082583,272383137
57082583,1321135141729771524
57082583,1130775067154178049
57082583,179177557
57082583,1205111988
57082583,1228627223197999104
57082583,926111189653999617
57082583,1241208416275550215
57082583,85021346
57082583,2435302362
57082583,250035156
57082583,203609466
57082583,1011323092717752320
57082583,1289031958018760705
57082583,858968976554156033
57082583,11017262
57082583,931212478289252352
57082583,3603381
57082583,824240207000178688
57082583,1147195329974026246
57082583,1079640629364178945
57082583,1095439999754006529
57082583,1351540539531919361
57082583,1055046576979226626
57082583,15726813
57082583,223952322
57082583,389562551
57082583,188717623
57082583,11491782
57082583,189605337
57082583,319550333
57082583,1114102241533755392
57082583,1221951472419639296
57082583,955766182702850050
57082583,17667859
57082583,96683447
57082583,576847508
57082583,1595266056
57082583,1342717752742539264
57082583,4831064649
57082583,595484668
57082583,295464809
57082583,1036404223
57082583,4853494606
57082583,47385370
57082583,784117652277043200
57082583,2209211090
57082583,36612919
57082583,1245407033467305993
57082583,1130830006375075841
57082583,1350738879725371394
57082583,752355219955154944
57082583,732640763549454336
57082583,1047788701
57082583,3509452832
57082583,1348927343776161795
57082583,291885943
57082583,1309123406240120833
57082583,2957643506
57082583,1283500928113487879
57082583,3344076508
57082583,1642618422
57082583,803314174520528896
57082583,2350688629
57082583,1336315624587345926
57082583,1024394389039276032
57082583,967337969945382912
57082583,1064153273932922881
57082583,32915190
57082583,341234712
57082583,1397524068
57082583,1575907856
57082583,621073
57082583,422827702
57082583,1200335700610011141
57082583,848839267
57082583,50343062
57082583,722847370879217664
57082583,840518616839774209
57082583,1225412105911853056
57082583,50671317
57082583,1315555020985831425
57082583,794644184
57082583,247329714
57082583,3091136116
57082583,911228434734473217
57082583,1153950732
57082583,1860243234
57082583,128497985
57082583,716335905989070848
57082583,232653735
57082583,2949971999
57082583,30054551
57082583,1312384501696409600
57082583,1148630562975993856
57082583,4103765812
57082583,2211252408
57082583,1257733645277769735
57082583,1196407913302122496
57082583,1607359658
57082583,1217118984
57082583,95083618
57082583,16538343
57082583,26476378
57082583,218174156
57082583,201346529
57082583,2353762944
57082583,912269772
57082583,1079397109554503681
57082583,3081050671
57082583,893005905167560704
57082583,2161232472
57082583,1283523997041336321
57082583,16574411
57082583,914522034
57082583,1165255792175517702
57082583,122495507
57082583,896474155687657472
57082583,1460062934
57082583,23761309
57082583,2246014224
57082583,1047549426
57082583,2717076834
57082583,1004741861368623104
57082583,76547015
57082583,47591452
57082583,1004043007551791104
57082583,1027158039177125889
57082583,570807808
57082583,1214141657156739072
57082583,936786083253071872
57082583,284142381
57082583,1400211
57082583,34999723
57082583,1206892696650039303
57082583,476618419
57082583,1434359630
57082583,2815112243
57082583,2242925052
57082583,2981065641
57082583,96736531
57082583,17015268
57082583,215925045
57082583,1118835618535096323
57082583,122405720
57082583,470412567
57082583,2810151922
57082583,721132889598005248
57082583,342481516
57082583,59858884
57082583,1240954607788056577
57082583,817968915976318976
57082583,42018126
57082583,1236996337838718978
57082583,1228726773078208512
57082583,3044840093
57082583,2211226310
57082583,1165763749
57082583,40383352
57082583,8875082
57082583,2872545452
57082583,3870844823
57082583,89478386
57082583,1144167571689791488
57082583,835870423854301184
57082583,1155506341554905088
57082583,175831217
57082583,114441145
57082583,2388843638
57082583,284455405
57082583,14979635
57082583,733354938
57082583,1115754915232530432
57082583,29547109
57082583,70674337
57082583,143385060
57082583,2400445686
57082583,717628693
57082583,1269518324
57082583,1129143763845169153
57082583,3918564203
57082583,1181129475926482947
57082583,794647290791297025
57082583,2969335942
57082583,1010074283702411264
57082583,1052615623795200001
57082583,1174051426890371084
57082583,713476622918270976
57082583,13253
57082583,17378128
57082583,1498487264
57082583,15924767
57082583,81944514
57082583,171892955
57082583,1143038206335737856
57082583,156280168
57082583,2330414268
57082583,402664998
57082583,2588718286
57082583,8273852
57082583,82443473
57082583,3161280970
57082583,1145635082406899714
57082583,1115290800542355456
57082583,5692212
57082583,844166288658305025
57082583,1141723547330629632
57082583,946064042522705921
57082583,634715060
57082583,86916436
57082583,4273813048
57082583,979261158
57082583,17756464
57082583,6810492
57082583,47574316
57082583,583642550
57082583,1132895554822758400
57082583,1140619833517719561
57082583,21762800
57082583,16081855
57082583,73160379
57082583,867312279355871234
57082583,438254036
57082583,2914605289
57082583,1159898682
57082583,3656892855
57082583,1041425457877405696
57082583,893089766039846912
57082583,750286186392977409
57082583,50031310
57082583,53340169
57082583,2801478641
57082583,7085762
57082583,1003616379264741376
57082583,4895093763
57082583,2921046469
57082583,2315601
57082583,195474093
57082583,876083623711174657
57082583,350164545
57082583,28607182
57082583,916326415674601472
57082583,1041619447130271744
57082583,22212380
57082583,75771900
57082583,1039931109289668615
57082583,76027241
57082583,962998546952835072
57082583,730037956069691392
57082583,826407093079044096
57082583,852177230549667841
57082583,1015681547415031808
57082583,150553237
57082583,14049302
57082583,3055742203
57082583,30032553
57082583,889791677438844928
57082583,1119254346678571008
57082583,247658865
57082583,339951905
57082583,120107567
57082583,3842406802
57082583,634523269
57082583,794151590890471424
57082583,78363776
57082583,930404074033500160
57082583,731628579382001664
57082583,5993652
57082583,602189400
57082583,1960510656
57082583,24212861
57082583,4520310868
57082583,2789746316
57082583,289292277
57082583,55584039
57082583,14228078
57082583,85950468
57082583,1033991859067133952
57082583,1904917267
57082583,2731882176
57082583,984351831395569664
57082583,16327532
57082583,177993199
57082583,821417575
57082583,288078578
57082583,3062501138
57082583,2395986109
57082583,20873747
57082583,1790113398
57082583,1619666256
57082583,8104332
57082583,2788582668
57082583,324834016
57082583,280507159
57082583,986587285280968705
57082583,630597781
57082583,50628198
57082583,2492581454
57082583,37413151
57082583,4170946949
57082583,58095918
57082583,869634487889612800
57082583,1099983237923983361
57082583,832212565832896512
57082583,29050365
57082583,15727803
57082583,1010890008067272704
57082583,254378772
57082583,1206408937
57082583,2239301
57082583,48489614
57082583,1052614667472957441
57082583,1657521175
57082583,902174060003692545
57082583,69625871
57082583,1090248917160259584
57082583,280941116
57082583,16777774
