user,follower,follower_count,friends_count,screen_name_follower,screen_name_user
57082583,95083618,747,1196,jeu1987,tobias_blanke
57082583,16538343,1459,4104,jlinabary,tobias_blanke
57082583,26476378,2442,3713,aikvaneemeren,tobias_blanke
57082583,218174156,1501,1433,anamariadutceac,tobias_blanke
57082583,201346529,376,1462,bramiozo,tobias_blanke
57082583,2353762944,492,1166,PhiMeyer,tobias_blanke
57082583,912269772,9,275,eric__eggert,tobias_blanke
57082583,1079397109554503681,3368,623,da_loick,tobias_blanke
57082583,3081050671,8,83,ArielBlueLucky,tobias_blanke
57082583,893005905167560704,356,871,MaxRossmann,tobias_blanke
57082583,2161232472,3165,5001,NatalieJester,tobias_blanke
57082583,1283523997041336321,50,180,vanessa_ugolini,tobias_blanke
57082583,16574411,79,798,nicalpert,tobias_blanke
57082583,914522034,2079,2122,UoY_SATSU,tobias_blanke
57082583,1165255792175517702,47,110,DrAlexVoss,tobias_blanke
57082583,122495507,368,1475,BEN_JAM1N,tobias_blanke
57082583,896474155687657472,34,124,yk4147,tobias_blanke
57082583,1460062934,1013,414,Logic_Cognition,tobias_blanke
57082583,23761309,633,1250,ruyhliu,tobias_blanke
57082583,2246014224,427,1047,mtwjmsdns,tobias_blanke
57082583,1047549426,905,636,federicarusso,tobias_blanke
57082583,2717076834,2787,1127,nescio13,tobias_blanke
57082583,1004741861368623104,158,147,Vir2alinteriors,tobias_blanke
57082583,76547015,920,4683,pavesipavesi,tobias_blanke
57082583,47591452,78,365,w_achbari,tobias_blanke
57082583,1004043007551791104,3220,1179,TimeMachineEU,tobias_blanke
57082583,1605874532,3017,2658,citizen_sense,tobias_blanke
57082583,1027158039177125889,99,642,FennaImara,tobias_blanke
57082583,570807808,292,928,martaespuny,tobias_blanke
57082583,1214141657156739072,258,207,SonjaSmets,tobias_blanke
57082583,936786083253071872,37,203,JaneeShen,tobias_blanke
57082583,284142381,842,1032,NetMev,tobias_blanke
57082583,1400211,264,419,rutrut,tobias_blanke
57082583,34999723,466,1755,pinbarlas,tobias_blanke
57082583,1206892696650039303,140,155,IrisProff,tobias_blanke
57082583,476618419,529,883,MariKetz,tobias_blanke
57082583,1434359630,2400,2238,gimenadelr,tobias_blanke
57082583,2815112243,194,615,gaia_casagrande,tobias_blanke
57082583,2242925052,479,607,LucaVigano68,tobias_blanke
57082583,2981065641,512,512,BenediktLoewe,tobias_blanke
57082583,96736531,1664,575,jjnoordegraaf,tobias_blanke
57082583,17015268,4381,3965,nicsuzor,tobias_blanke
57082583,215925045,42,1192,ahmetmiracson,tobias_blanke
57082583,1118835618535096323,203,406,ARIAS_amsterdam,tobias_blanke
57082583,122405720,3808,2672,MartijnKleppe,tobias_blanke
57082583,470412567,1406,2160,Papadopoulos_C,tobias_blanke
57082583,2810151922,430,1351,VilleAula,tobias_blanke
57082583,721132889598005248,57,967,aribeirojr,tobias_blanke
57082583,342481516,618,1607,CamiGottlieb,tobias_blanke
57082583,59858884,35,384,tihanakrajnovic,tobias_blanke
57082583,1240954607788056577,122,311,ChrstSchulz,tobias_blanke
57082583,817968915976318976,109,305,Stuckmist,tobias_blanke
57082583,42018126,13045,14227,sunil_abraham,tobias_blanke
57082583,1722172674,187,245,MulumbaOnan,tobias_blanke
57082583,1236996337838718978,655,209,uva_gdc,tobias_blanke
57082583,1228726773078208512,656,2930,Shiera35965366,tobias_blanke
57082583,3044840093,143,548,DARIAH_SI,tobias_blanke
57082583,2211226310,995,1624,a_nother_web,tobias_blanke
57082583,1165763749,41,2333,shalaby_n,tobias_blanke
57082583,40383352,2482,2691,evoluchico,tobias_blanke
57082583,8875082,297,344,palmerabollo,tobias_blanke
57082583,2872545452,850,992,javiergb_com,tobias_blanke
57082583,3870844823,889,829,anniekderuijter,tobias_blanke
57082583,89478386,347,1373,sandervhaperen,tobias_blanke
57082583,1144167571689791488,2,160,__chengh,tobias_blanke
57082583,835870423854301184,304,1598,FloraLysen,tobias_blanke
57082583,1155506341554905088,452,270,securityflows,tobias_blanke
57082583,175831217,596,357,tomvannuenen,tobias_blanke
57082583,114441145,993,1812,rvaneijk,tobias_blanke
57082583,2388843638,45,142,annaidahd,tobias_blanke
57082583,284455405,2835,1291,_vecna,tobias_blanke
57082583,14979635,5503,2285,FelixTreguer,tobias_blanke
57082583,733354938,69,575,Grete_60664,tobias_blanke
57082583,1115754915232530432,1590,4994,ISICambridge,tobias_blanke
57082583,29547109,403,300,SeamusRoss,tobias_blanke
57082583,70674337,266,782,martijnhartog,tobias_blanke
57082583,143385060,143,732,RobertvDoesburg,tobias_blanke
